protein.Entry_protein.Accession,protein.Description,c1,c2,c3,r1,r2,r3,rt1,rt2,rt3,t1,t2,t3,Present_NumFiles
CROCC_HUMAN_Q5TZA2,Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1,3.1095,4.4274,4.3911,4.3601,2.3205,3.3608,5.2708,2.0705,2.9291,3.6949,2.4619,3.0486,12
PLIN3_HUMAN_O60664,Perilipin-3 OS=Homo sapiens GN=PLIN3 PE=1 SV=3,2.4834,2.1446,2.3546,1.7668,2.3879,2.2081,2.1277,2.1788,1.6281,2.1963,2.2053,1.8585,12
K2C8_HUMAN_P05787,Keratin_ type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7,13.3773,10.3354,14.4953,8.7929,9.8296,9.6153,9.7659,9.8172,7.1711,10.3124,9.6694,10.4306,12
K1C9_HUMAN_P35527,Keratin_ type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3,1.3036,1.3308,0.2014,0.2293,1.0596,1.1192,0.636,0.2627,0.2097,0.2452,0.2265,0.0989,12
TMX1_HUMAN_Q9H3N1,Thioredoxin-related transmembrane protein 1 OS=Homo sapiens GN=TMX1 PE=1 SV=1,0.853,0.8062,0.8596,0.6901,0.8307,0.76,0.842,0.8756,0.7478,0.7103,0.7668,0.7039,12
PDXD1_HUMAN_Q6P996,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens GN=PDXDC1 PE=1 SV=2,0.3647,0.2452,0.404,0.2505,0.2283,0.1701,0.2318,0.2236,0.1808,0.2639,0.3039,0.3159,12
ECHA_HUMAN_P40939,Trifunctional enzyme subunit alpha_ mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2,1.9891,0.9685,1.8178,0.7379,0.8645,1.2698,0.9465,1.0699,0.7446,0.9583,1.3643,0.8251,12
SYRC_HUMAN_P54136,Arginine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=RARS PE=1 SV=2,2.3893,1.6362,1.8668,1.1522,1.2246,1.0432,1.8144,2.24,1.3309,1.6629,1.5379,1.5024,12
EIF3L_HUMAN_Q9Y262,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=1 SV=1,1.3627,1.1572,1.441,1.0778,1.1313,1.0703,1.0912,1.2797,0.8417,1.1321,1.0321,2.152,12
MPPA_HUMAN_Q10713,Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens GN=PMPCA PE=1 SV=2,0.5758,0.4684,0.5674,0.2145,0.3454,0.1775,0.2531,0.5121,0.2971,0.2747,0.3266,0.3461,12
E9PK54_HUMAN_E9PK54,Heat shock cognate 71 kDa protein (Fragment) OS=Homo sapiens GN=HSPA8 PE=1 SV=8,4.4623,4.8575,4.0741,3.5676,3.5707,3.4856,3.9418,3.6535,3.3875,3.6494,3.4108,3.3772,12
RRBP1_HUMAN_Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1 PE=1 SV=4,5.4497,4.6495,4.5929,3.7461,4.4264,4.5386,4.3138,4.3067,3.3859,4.6936,4.6039,4.4363,12
ANXA2_HUMAN_P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,7.4666,6.7834,7.0028,6.0875,6.4898,6.2154,5.6847,7.3325,5.1571,5.7959,5.3239,5.0587,12
RHG01_HUMAN_Q07960,Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1,0.2892,0.3969,0.4888,0.453,0.3555,0.3803,0.5327,0.4784,0.3883,0.3657,0.3483,0.3085,12
ZYX_HUMAN_Q15942,Zyxin OS=Homo sapiens GN=ZYX PE=1 SV=1,4.5735,3.3929,3.7565,2.3962,2.9899,2.8215,3.1345,3.7606,2.67,3.5361,3.0393,3.2714,12
TXND5_HUMAN_Q8NBS9,Thioredoxin domain-containing protein 5 OS=Homo sapiens GN=TXNDC5 PE=1 SV=2,1.2343,0.8678,5.3864,0.7847,0.7647,0.6988,0.7224,1.0909,0.6621,1.0089,0.8419,0.8203,12
IQGA1_HUMAN_P46940,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,6.7697,5.4577,8.0299,5.6685,6.8533,5.0005,6.2943,7.2467,3.8193,7.2357,6.9649,7.3137,12
CAPG_HUMAN_P40121,Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=2,1.1551,0.8427,1.0261,0.531,0.6671,0.6198,0.656,0.8702,0.5343,0.6332,0.6227,0.6288,12
HNRH2_HUMAN_P55795,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1,1.9894,2.2911,2.0886,2.5477,2.3747,2.3954,2.7917,2.6381,1.8792,2.836,2.4614,3.041,12
ANXA5_HUMAN_P08758,Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2,1.8826,1.9034,1.6258,1.4663,1.726,1.821,2.163,1.7213,1.4356,1.9535,1.8818,1.8307,12
SH3L1_HUMAN_O75368,SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1,0.0955,0.0998,0.0949,0.0506,0.1028,0.1189,0.0749,0.1403,0.1133,0.0652,0.0722,0.0653,12
SYTC_HUMAN_P26639,Threonine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3,3.1535,3.4387,2.6954,2.3288,3.3369,3.1373,3.553,2.1087,2.0453,2.5719,2.8432,2.2758,12
MATR3_HUMAN_P43243,Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2,3.3617,1.634,2.1282,2.1099,3.3814,3.2735,2.6967,4.1676,1.7498,2.2731,2.3166,1.8073,12
SYNC_HUMAN_O43776,Asparagine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=NARS PE=1 SV=1,1.0131,0.7997,1.7967,0.7211,0.7608,0.8859,0.8224,0.91,0.7569,0.937,0.6994,0.6453,12
1A34_HUMAN_P30453,HLA class I histocompatibility antigen_ A-34 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,0.5208,1.0647,0.9165,0.4051,0.6197,1.0293,0.3353,1.1118,0.428,1.2389,1.1694,1.1479,12
RPAP3_HUMAN_Q9H6T3,RNA polymerase II-associated protein 3 OS=Homo sapiens GN=RPAP3 PE=1 SV=2,0.1815,0.0906,0.1184,0.2398,0.1014,0.1101,0.6151,0.1504,0.1414,0.1191,0.2385,0.2146,12
H0Y5F3_HUMAN_H0Y5F3,Filamin-A (Fragment) OS=Homo sapiens GN=FLNA PE=1 SV=1,2.0048,1.6271,0.351,1.4219,1.7678,1.7091,1.8127,1.2143,0.2124,1.5238,1.4614,1.2895,12
PELP1_HUMAN_Q8IZL8,Proline-_ glutamic acid- and leucine-rich protein 1 OS=Homo sapiens GN=PELP1 PE=1 SV=2,0.294,0.3709,0.392,0.3286,0.3896,0.349,0.3689,0.5287,0.3277,0.3263,0.333,0.3081,12
RM12_HUMAN_P52815,39S ribosomal protein L12_ mitochondrial OS=Homo sapiens GN=MRPL12 PE=1 SV=2,0.4128,0.4735,0.3242,0.3778,0.5794,0.3733,0.4569,0.3681,0.296,0.3987,0.3468,0.4897,12
CHRD1_HUMAN_Q9UHD1,Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens GN=CHORDC1 PE=1 SV=2,0.3896,0.3749,0.3098,0.3956,0.4525,0.4722,0.4982,0.3742,0.3326,0.507,0.4291,0.3739,12
AT1A1_HUMAN_P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,4.4527,3.8334,4.1333,3.6424,4.702,3.5458,3.4539,3.6253,2.7574,3.7397,3.7073,4.2626,12
VAMP3_HUMAN_Q15836,Vesicle-associated membrane protein 3 OS=Homo sapiens GN=VAMP3 PE=1 SV=3,0.3702,0.3591,0.3444,0.3188,0.3207,0.2921,0.3537,0.3102,0.3103,0.3115,0.2871,0.1969,12
SC16A_HUMAN_O15027,Protein transport protein Sec16A OS=Homo sapiens GN=SEC16A PE=1 SV=3,0.4015,0.9377,0.8566,0.4071,0.8993,0.4148,0.3832,0.512,0.2792,0.4566,0.3283,0.4828,12
ELAV1_HUMAN_Q15717,ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2,0.7354,0.5469,0.8202,0.554,0.7992,0.7512,0.9761,0.4017,0.7112,0.8367,0.6757,0.7122,12
ABCF2_HUMAN_Q9UG63,ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2,1.7291,1.7198,1.1637,1.361,1.3994,1.6004,1.7756,2.315,1.4703,2.4249,1.502,1.3653,12
OAS3_HUMAN_Q9Y6K5,2'-5'-oligoadenylate synthase 3 OS=Homo sapiens GN=OAS3 PE=1 SV=3,0.5105,0.5324,0.6107,0.2073,0.2379,0.2457,0.27,0.2385,0.9026,0.2007,0.2625,0.2857,12
VAPB_HUMAN_O95292,Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3,0.4413,0.3468,0.4509,0.3171,0.4464,0.4654,0.3933,0.4781,0.2795,0.3094,0.4063,0.2709,12
GDIB_HUMAN_P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,2.8983,3.0022,2.8838,2.4811,2.5719,2.6077,2.947,3.2139,2.4014,2.6578,2.5501,2.5069,12
SPAG5_HUMAN_Q96R06,Sperm-associated antigen 5 OS=Homo sapiens GN=SPAG5 PE=1 SV=2,0.6168,0.3646,0.5975,0.2223,0.4745,0.3389,0.2652,0.8376,0.1737,0.3638,0.3395,0.3548,12
MRT4_HUMAN_Q9UKD2,mRNA turnover protein 4 homolog OS=Homo sapiens GN=MRTO4 PE=1 SV=2,0.7082,0.1273,0.6327,0.5253,0.4862,0.1181,0.6398,0.6653,0.3153,0.5513,0.3615,0.4743,12
HGS_HUMAN_O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1,3.121,1.0041,1.3589,0.716,0.8849,0.8929,0.8897,0.9689,0.716,0.872,0.8641,0.6721,12
PAWR_HUMAN_Q96IZ0,PRKC apoptosis WT1 regulator protein OS=Homo sapiens GN=PAWR PE=1 SV=1,0.3961,0.3536,0.5409,0.2037,0.2972,0.2157,0.4935,0.3551,0.1843,0.4611,0.4205,0.4284,12
ITA5_HUMAN_P08648,Integrin alpha-5 OS=Homo sapiens GN=ITGA5 PE=1 SV=2,0.8559,0.7674,0.8866,0.9436,0.9872,0.962,2.0629,2.3562,1.6727,1.1788,1.1427,1.3445,12
RENT1_HUMAN_Q92900,Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2,0.4962,0.6263,0.8542,0.6776,0.773,0.7144,0.9318,0.8427,0.6261,0.736,0.6796,0.5127,12
PAK2_HUMAN_Q13177,Serine/threonine-protein kinase PAK 2 OS=Homo sapiens GN=PAK2 PE=1 SV=3,1.8118,1.5006,1.9832,0.9816,1.1401,1.0471,0.971,0.998,0.8964,0.9147,1.1927,1.1057,12
PLST_HUMAN_P13797,Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4,2.9184,2.6058,2.697,1.9534,2.0786,2.1654,2.3054,2.5595,1.6861,2.6195,2.3332,2.6532,12
SAMH1_HUMAN_Q9Y3Z3,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens GN=SAMHD1 PE=1 SV=2,2.8486,2.3979,2.4685,1.7986,1.7387,1.8983,1.9189,1.7036,1.0608,1.9903,2.369,1.5502,12
PRP6_HUMAN_O94906,Pre-mRNA-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1,1.2439,0.7274,0.6803,0.5462,0.8604,0.5335,0.9379,0.6844,0.3531,0.6597,0.8155,0.8865,12
AKA12_HUMAN_Q02952,A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4,3.6405,0.9343,3.1296,5.4512,5.0967,4.0385,15.8003,10.1948,5.8151,3.943,2.9182,3.4763,12
SCFD1_HUMAN_Q8WVM8,Sec1 family domain-containing protein 1 OS=Homo sapiens GN=SCFD1 PE=1 SV=4,0.4719,0.7051,0.4348,1.0798,1.0751,0.7588,1.0589,0.4098,0.2775,1.1064,0.902,1.1453,12
RPAC1_HUMAN_O15160,DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens GN=POLR1C PE=1 SV=1,0.1221,0.1397,0.3899,0.1316,0.1266,0.1385,0.1739,0.1222,0.1,0.1413,0.098,0.1244,12
NOLC1_HUMAN_Q14978,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1 PE=1 SV=2,0.6366,1.097,0.7269,0.4423,0.4198,0.4301,0.4,0.4235,0.9106,0.3262,0.3165,0.957,12
GNAI3_HUMAN_P08754,Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3,0.4328,0.433,0.4246,0.447,0.4203,0.3912,0.5096,0.5223,0.4343,0.4235,0.3965,0.4006,12
CBPD_HUMAN_O75976,Carboxypeptidase D OS=Homo sapiens GN=CPD PE=1 SV=2,0.4183,0.5829,0.4834,0.199,0.2307,0.2989,0.3086,0.3953,0.6629,0.4967,0.3968,0.3905,12
SPTC1_HUMAN_O15269,Serine palmitoyltransferase 1 OS=Homo sapiens GN=SPTLC1 PE=1 SV=1,0.1868,0.1805,0.2061,0.1379,0.1435,0.1458,0.2207,0.2447,0.1738,0.1288,0.1559,0.1613,12
SPS1_HUMAN_P49903,Selenide_ water dikinase 1 OS=Homo sapiens GN=SEPHS1 PE=1 SV=2,0.3387,0.1553,0.2554,0.7216,0.1904,0.1893,0.2513,0.305,0.1944,0.2218,0.2333,0.2455,12
SMD2_HUMAN_P62316,Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1,0.356,0.3662,0.3169,0.2138,0.2836,0.2838,0.273,0.3195,0.2298,0.3107,0.2896,0.2703,12
UBA6_HUMAN_A0AVT1,Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,1.9274,0.5993,0.8274,0.7908,0.8247,0.7128,1.0439,1.0983,0.7782,0.6011,0.6618,0.6442,12
SSRP1_HUMAN_Q08945,FACT complex subunit SSRP1 OS=Homo sapiens GN=SSRP1 PE=1 SV=1,0.7689,0.6827,0.7166,0.7076,0.7139,0.6016,0.8311,1.5697,0.4932,0.7042,0.6306,0.6044,12
ANXA7_HUMAN_P20073,Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3,0.6693,0.6869,0.6075,0.7795,0.5498,0.5799,0.8932,0.6487,0.5248,0.6543,0.5991,0.5069,12
GRDN_HUMAN_Q3V6T2,Girdin OS=Homo sapiens GN=CCDC88A PE=1 SV=2,1.9136,1.915,0.9256,1.4471,0.2276,2.5389,1.2109,1.3577,3.0185,1.0515,1.9533,1.1699,12
ZCCHV_HUMAN_Q7Z2W4,Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=1 SV=3,1.0094,0.7551,0.9663,0.6028,1.1397,0.7579,0.8876,0.9097,0.6185,0.7163,0.7049,0.6665,12
DNMT1_HUMAN_P26358,DNA (cytosine-5)-methyltransferase 1 OS=Homo sapiens GN=DNMT1 PE=1 SV=2,0.9596,1.3042,1.6714,0.5927,0.8467,1.0395,0.5479,0.7271,0.9197,0.6224,0.7955,0.596,12
GRP78_HUMAN_P11021,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,9.9981,9.3997,9.4486,8.4141,9.9031,8.5639,10.3044,10.4463,10.7596,9.3297,9.3067,8.7327,12
TCPA_HUMAN_P17987,T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1,1.7662,2.4724,3.9823,2.4837,3.2932,2.758,3.5091,2.4787,2.0471,2.4535,2.1067,1.8894,12
CYFP1_HUMAN_Q7L576,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens GN=CYFIP1 PE=1 SV=1,0.6928,0.594,1.1724,0.5757,0.4638,0.5835,1.1943,0.6764,0.8915,0.5141,0.5423,0.7051,12
ALDH2_HUMAN_P05091,Aldehyde dehydrogenase_ mitochondrial OS=Homo sapiens GN=ALDH2 PE=1 SV=2,0.1275,0.5877,0.1814,0.1482,0.1123,0.1823,0.1424,0.1478,0.1165,0.1409,0.1375,0.1141,12
TCP4_HUMAN_P53999,Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3,0.4192,0.3992,0.4567,0.3718,0.4114,0.4292,0.485,0.5122,0.4206,0.4828,0.4571,0.4151,12
SYVC_HUMAN_P26640,Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=1 SV=4,2.9448,2.9353,1.7661,1.8527,2.156,1.9503,1.9236,2.8674,2.0276,2.5541,2.3297,2.3597,12
ERP29_HUMAN_P30040,Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4,1.0462,1.0054,0.9597,0.7525,0.8661,0.7951,0.9322,0.9944,0.7652,0.7763,0.7406,0.6231,12
RT06_HUMAN_P82932,28S ribosomal protein S6_ mitochondrial OS=Homo sapiens GN=MRPS6 PE=1 SV=3,0.0816,0.0673,0.1235,0.0552,0.0593,0.0573,0.1392,0.1399,0.1101,0.0699,0.0762,0.0699,12
GRP75_HUMAN_P38646,Stress-70 protein_ mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2,5.8595,5.3515,6.0198,5.4367,5.1091,4.8086,5.4021,5.4243,4.3242,4.4813,4.1339,4.0783,12
CAN1_HUMAN_P07384,Calpain-1 catalytic subunit OS=Homo sapiens GN=CAPN1 PE=1 SV=1,0.5034,0.7124,0.396,0.5578,0.5327,0.364,0.4926,0.4049,0.4695,0.3463,0.3716,0.3999,12
GMFB_HUMAN_P60983,Glia maturation factor beta OS=Homo sapiens GN=GMFB PE=1 SV=2,0.7445,0.8606,0.8756,1.0003,1.0313,0.9625,1.2108,0.9269,0.85,1.1651,0.2533,0.8941,12
FKBP3_HUMAN_Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1,0.3935,0.4312,0.8705,0.3512,0.4204,0.3579,0.2401,0.4,0.3162,0.3313,0.331,0.3335,12
SRPK1_HUMAN_Q96SB4,SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=1 SV=2,0.7938,0.2375,0.6143,0.2791,0.3535,0.2322,0.4096,0.3246,0.2543,0.3231,0.243,0.3035,12
EIF3C_HUMAN_Q99613,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,3.4473,2.9922,3.408,2.3805,2.8657,2.8854,3.2409,3.7422,2.5256,2.9232,2.8156,2.6049,12
HNRPR_HUMAN_O43390,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1,1.7993,2.0978,3.4974,1.691,2.0083,1.9316,2.1317,1.2064,0.5465,2.176,2.0531,2.3794,12
XPO5_HUMAN_Q9HAV4,Exportin-5 OS=Homo sapiens GN=XPO5 PE=1 SV=1,0.9008,0.8712,1.1322,0.893,2.9233,1.6765,1.0575,0.9424,0.7001,0.9767,1.5252,0.9947,12
ARPC2_HUMAN_O15144,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,0.4521,0.5213,0.4445,0.3518,0.4371,0.3865,0.4689,0.4805,0.3916,0.4612,0.4351,0.4252,12
MARCS_HUMAN_P29966,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4,2.7149,2.2568,2.5776,1.2605,1.3953,1.556,1.2763,1.7691,1.3632,2.3411,2.2156,2.1552,12
PTBP1_HUMAN_P26599,Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1,0.6159,1.3872,1.1589,1.4599,1.1961,1.1464,2.1395,1.1974,1.1973,1.0053,1.016,0.935,12
TPD54_HUMAN_O43399,Tumor protein D54 OS=Homo sapiens GN=TPD52L2 PE=1 SV=2,0.9027,1.0149,0.6776,0.8245,0.9804,0.9009,0.9277,0.8799,0.7075,0.7286,0.7814,0.7812,12
COPD_HUMAN_P48444,Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1,1.2828,0.9465,1.4355,0.6902,0.7987,0.7402,0.8989,1.0878,4.404,0.9956,0.9228,0.9158,12
GNAI2_HUMAN_P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3,0.7302,0.6569,0.6407,0.5583,0.561,0.5356,0.684,0.7028,0.5722,0.5629,0.5003,0.4912,12
1C02_HUMAN_P30501,HLA class I histocompatibility antigen_ Cw-2 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1,2.13,0.1903,1.7434,0.8158,0.8447,0.9101,0.8255,0.4355,0.6786,0.2586,0.5128,0.5204,12
RL13_HUMAN_P26373,60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4,1.063,0.9648,1.1078,1.0094,1.1036,1.1381,1.1752,1.2628,1.0152,1.1094,0.9944,0.8306,12
NPL4_HUMAN_Q8TAT6,Nuclear protein localization protein 4 homolog OS=Homo sapiens GN=NPLOC4 PE=1 SV=3,0.2619,0.3062,0.1263,0.2407,0.4343,0.3338,0.3222,0.2878,0.3044,0.3367,0.2057,0.3148,12
ERH_HUMAN_P84090,Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1,0.3343,0.3222,0.3741,0.3075,0.2934,0.2944,0.3652,0.3217,0.2465,0.2817,0.2677,0.3639,12
HAT1_HUMAN_O14929,Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1,0.5631,0.5614,0.4441,0.4527,0.5419,0.5215,0.5349,0.5603,0.4196,0.5416,0.5556,0.4539,12
PININ_HUMAN_Q9H307,Pinin OS=Homo sapiens GN=PNN PE=1 SV=4,0.4255,0.7074,2.1099,0.4975,0.5552,0.523,0.3933,1.9917,0.3473,0.4056,0.3839,0.4342,12
NU107_HUMAN_P57740,Nuclear pore complex protein Nup107 OS=Homo sapiens GN=NUP107 PE=1 SV=1,0.3769,0.5174,0.5205,0.504,0.4638,0.3409,0.5197,0.3839,0.4685,0.6281,0.5808,0.6101,12
SRRM1_HUMAN_Q8IYB3,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens GN=SRRM1 PE=1 SV=2,1.0529,1.4587,1.1164,0.7855,2.3472,1.3828,0.9241,1.0622,1.1162,1.4798,1.2543,1.4961,12
DNPH1_HUMAN_O43598,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Homo sapiens GN=DNPH1 PE=1 SV=1,0.1571,0.1561,0.0982,0.0834,0.0871,0.0956,0.0859,0.0878,0.063,0.0954,0.1231,0.0918,12
ZFR_HUMAN_Q96KR1,Zinc finger RNA-binding protein OS=Homo sapiens GN=ZFR PE=1 SV=2,0.5087,0.4019,0.7109,0.3203,0.3907,4.476,0.4018,0.5235,0.3705,0.343,0.2782,0.3145,12
GLRX5_HUMAN_Q86SX6,Glutaredoxin-related protein 5_ mitochondrial OS=Homo sapiens GN=GLRX5 PE=1 SV=2,0.0482,0.033,0.047,0.0464,0.0386,0.0429,0.0643,0.0541,0.0343,0.0485,0.0499,0.0317,12
NCBP1_HUMAN_Q09161,Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1,0.4858,0.4967,0.2861,0.6435,0.5507,0.6188,0.628,0.3925,0.3186,0.6425,0.4651,0.5112,12
SRP09_HUMAN_P49458,Signal recognition particle 9 kDa protein OS=Homo sapiens GN=SRP9 PE=1 SV=2,0.1307,0.1353,0.0834,0.096,0.1341,0.1248,0.1738,0.1358,0.118,0.1508,0.143,0.114,12
TBB2A_HUMAN_Q13885,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1,2.2027,2.0053,2.2932,4.7699,5.9263,2.2477,2.0041,2.041,1.3817,1.7391,1.9257,1.7745,12
NH2L1_HUMAN_P55769,NHP2-like protein 1 OS=Homo sapiens GN=SNU13 PE=1 SV=3,0.3282,0.2205,0.2119,0.1858,0.2044,0.1942,0.2067,0.1997,0.1671,0.1811,0.2073,0.2006,12
E9PJD9_HUMAN_E9PJD9,60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=1,0.7477,0.7176,0.8313,0.6522,0.8031,0.8123,0.7911,0.9223,0.7147,0.7793,0.7067,0.674,12
EFHD2_HUMAN_Q96C19,EF-hand domain-containing protein D2 OS=Homo sapiens GN=EFHD2 PE=1 SV=1,0.4219,0.3451,0.4516,0.5263,0.5613,0.5472,0.5825,0.592,0.4972,0.3238,0.358,0.3203,12
ARP2_HUMAN_P61160,Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1,1.0927,1.0692,1.1447,0.7097,0.9884,0.8815,1.148,1.3592,0.7613,1.0002,0.9199,0.9823,12
EHD4_HUMAN_Q9H223,EH domain-containing protein 4 OS=Homo sapiens GN=EHD4 PE=1 SV=1,0.6878,0.6728,0.5642,0.4567,0.5126,0.4911,0.569,0.4785,0.3983,0.4184,0.3923,0.2861,12
CASP3_HUMAN_P42574,Caspase-3 OS=Homo sapiens GN=CASP3 PE=1 SV=2,0.1469,0.1362,0.1424,0.1039,0.1083,0.1039,0.1189,0.1461,0.1065,0.1086,0.1094,0.2396,12
SFXN1_HUMAN_Q9H9B4,Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=1 SV=4,0.3658,0.4496,0.4224,0.5481,0.5445,0.3789,0.5271,0.3862,0.357,0.4392,0.4304,0.4716,12
MCM3_HUMAN_P25205,DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,1.9039,2.1025,1.9813,1.2722,1.8779,1.3515,1.5143,1.8333,1.3168,1.6041,1.3909,1.6467,12
RTN4_HUMAN_Q9NQC3,Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2,1.7596,2.3801,2.4852,4.249,3.7619,3.4584,3.3162,3.5395,3.8467,3.3853,3.233,2.7749,12
AL1B1_HUMAN_P30837,Aldehyde dehydrogenase X_ mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3,0.2127,0.3335,0.6077,0.1253,0.2374,0.2167,0.1311,0.1491,0.2423,0.4613,0.3004,0.4356,12
G3BP1_HUMAN_Q13283,Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=1 SV=1,1.5246,1.6469,2.3277,1.9118,2.2728,1.7961,1.6737,1.6379,1.3761,2.0233,1.9207,1.8497,12
PCBP1_HUMAN_Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2,3.7523,3.6234,3.4968,2.2094,2.9199,2.6275,3.0108,3.527,2.3515,3.0126,2.9751,2.6707,12
TPD52_HUMAN_P55327,Tumor protein D52 OS=Homo sapiens GN=TPD52 PE=1 SV=2,0.2866,0.3235,0.179,0.4778,0.4657,0.429,0.6279,0.175,0.2425,0.4257,0.4348,0.3715,12
SK2L2_HUMAN_P42285,Superkiller viralicidic activity 2-like 2 OS=Homo sapiens GN=SKIV2L2 PE=1 SV=3,1.0978,0.9585,1.2173,0.7136,0.9135,0.8862,1.047,1.3785,0.8196,0.9655,0.9822,1.0887,12
